No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
43,2026/3/14,ゴトーー,784709,ULTIMATE,2211,8.59%,1.99%,12.41%,3.47%,50.84%,0.31%,22.36%,0,1.6,0.2,0.1,0.5,0.2,0.2,0.1,0.1,0.1,0,31.62%,39.31%,23.07%,5.98%,0.1,0.1,3.3,2.5,1.2,14.5,8.5,34500,31,27747,7008,1646016
44,2026/3/14,shion,243562,ULTIMATE,2210,11.45%,1.51%,13.91%,5.88%,43.03%,1.22%,22.95%,0.2,1.6,0.3,0.2,0.8,0.2,0.1,0.1,0.2,0.1,0.1,26.66%,38.09%,23.80%,11.42%,0.1,0,2.5,2.3,0.1,12.1,8.7,32354,87,4287,243,1116260
45,2026/3/14,Kushina,353112,ULTIMATE,2209,15.46%,0.96%,26.79%,9.36%,23.64%,1.25%,22.50%,0.2,1.9,0.3,0.1,0.8,0.1,0.1,0,0.2,0.1,0,14.77%,39.77%,34.09%,11.36%,0,0.1,2.3,1.7,0.4,14.4,7.4,27175,27,24496,5456,1403840
46,2026/3/14,LaVISION。ジョジョ太郎,827587,ULTIMATE,2209,10.62%,1.09%,15.27%,6.78%,47.19%,0.49%,18.52%,0.1,1.2,0.2,0.1,0.6,0.1,0,0,0.2,0.1,0,21.11%,34.44%,32.22%,12.22%,0.1,0.1,2.2,1.7,0.4,16.9,7.2,50005,16,7293,523,1638476
47,2026/3/14,でんせつえすぴ～,851098,ULTIMATE,2209,13.08%,1.33%,25.19%,8.76%,24.11%,1.01%,26.48%,0.1,1.3,0.3,0.2,0.7,0.1,0,0,0.1,0.1,0,51.23%,4.13%,29.75%,14.87%,0.1,0,3,2,0.3,12.4,8.9,17656,0,3039,17,567450
48,2026/3/14,めんたらこ,826631,ULTIMATE,2208,15.84%,3.06%,14.32%,10.61%,34.45%,1.25%,20.43%,0.2,1.4,0.3,0.2,0.6,0.4,0.3,0.1,0.3,0.2,0.1,22.98%,34.48%,25.28%,17.24%,0.1,0.1,3.5,2.4,0.4,8.6,8.5,49284,342,2093,80,1531648
49,2026/3/14,Seichi（せいち）,790700,ULTIMATE,2206,17.29%,4.35%,18.62%,9.31%,29.28%,0.78%,20.34%,0.1,2.6,0.2,0.5,0.8,0.4,0.2,0.1,0.3,0.2,0.1,35.13%,45.04%,16.21%,3.60%,0.1,0,1.4,2.4,0.4,13.4,8.4,49863,0,10639,3452,1860874
50,2026/3/14,inaba,323400,ULTIMATE,2205,15.97%,1.29%,22.28%,9.60%,26.40%,0.64%,23.79%,0.1,1.8,0.4,0.3,1,0.2,0.2,0.1,0.2,0.1,0,28.57%,15.58%,36.36%,19.48%,0.1,0.1,3.2,2.1,0.9,12,6.9,48537,38,5421,208,1554577
51,2026/3/14,Zhen,795745,ULTIMATE,2205,12.63%,1.96%,23.17%,5.75%,30.08%,2.62%,23.76%,0.3,1.6,0.3,0.3,0.7,0.2,0.2,0.1,0.1,0.1,0,39.56%,13.18%,42.85%,4.39%,0,0,3.6,2.3,0.5,14.8,8.8,42525,2,14872,698,1504387
52,2026/3/14,Taisei,80302,ULTIMATE,2205,15.37%,1.45%,13.03%,7.09%,36.36%,1.62%,25.06%,0.2,2.6,0.4,0.3,1.4,0.2,0.1,0.1,0.2,0.1,0,22.22%,37.96%,32.40%,7.40%,0.1,0.1,2.9,2.4,0.4,11.5,9.1,43649,305,7605,342,1455344
