No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
区分,データ取得日,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,プレイヤー名情報,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブゲージ,ドライブリバーサル,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブパリィ,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,ドライブインパクト,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,SAゲージ使用割合,スタン,スタン,投げ,投げ,投げ,壁際,壁際,プレイ回数,プレイ回数,プレイ回数,プレイ回数,プレイポイント
項目,データ取得日,プレイヤー名,リーグポイント,ランク,MR,ドライブパリィ,ドライブインパクト,オーバードライブアーツ,パリィドライブラッシュ,キャンセルドライブラッシュ,ドライブリバーサル,ダメージ,使用回数,成功回数,相手のドライブパリィを投げた,自分のドライブパリィを投げられた,ジャストパリィ回数,決めた回数,パニッシュカウンターを決めた回数,相手のドライブインパクトに決めた回数,受けた回数,パニッシュカウンターを受けた回数,相手にドライブインパクトで返された回数,Lv1,Lv2,Lv3,CA,スタンさせた回数,スタンさせられた回数,決めた回数,受けた回数,投げ抜け回数,相手を追い詰めている時間,相手に追い詰められている時間,ランクマッチプレイ回数,カジュアルマッチプレイ回数,ルームマッチプレイ回数,バトルハブマッチプレイ回数,累計プレイポイント
単位,日付,テキスト,数値,テキスト,数値,割合,割合,割合,割合,割合,割合,割合,回,回,回,回,回,回,回,回,回,回,回,割合,割合,割合,割合,回,回,回,回,回,秒,秒,回,回,回,回,数値
142,2026/3/14,たるぅ。,16755,PLATINUM4,0,12.47%,0.44%,13.23%,6.91%,33.90%,0.00%,33.02%,0,2,0.1,0.3,0.4,0,0,0,0.1,0,0,21.12%,8.45%,52.11%,18.30%,0,0.1,3.6,2.7,0.3,10.8,11.9,998,18,4719,114,100984
143,2026/3/14,Brokehorn,39988,MASTER,1396,13.10%,10.37%,38.73%,5.46%,0.00%,2.64%,29.68%,0.3,1.9,0.1,0.3,0.4,0.9,0.6,0.2,0.6,0.5,0.2,38.77%,26.53%,20.40%,14.28%,0.1,0,0.8,2.4,0.6,6.5,4.1,14646,298,0,27,455442
144,2026/3/14,Shindo,19246,DIAMOND1,0,2.38%,13.16%,52.02%,0.48%,0.30%,0.61%,31.00%,0.1,0.4,0,0,0.1,0.7,0.5,0,0.7,0.5,0.3,31.42%,24.28%,24.28%,20.00%,0,0.1,2,1.5,0.2,3.3,7.8,965,22,222,60,38354
145,2026/3/14,do do,14200,PLATINUM2,0,11.06%,6.50%,21.80%,4.07%,40.44%,0.68%,15.41%,0.1,2.5,0.2,0.2,0.3,0.6,0.3,0.1,0.4,0.3,0.2,48.19%,4.81%,33.73%,13.25%,0,0.1,2.2,1.9,0.2,10.4,6.8,8355,50,260,114,282723
146,2026/3/14,namique.,26180,MASTER,0,12.03%,4.42%,14.36%,1.91%,35.24%,0.00%,32.01%,0,3.5,0.1,0.2,0.5,0.5,0.3,0.1,0.6,0.3,0.2,33.84%,3.07%,36.92%,26.15%,0.1,0.1,3.6,3.6,1.2,6.6,15.5,1760,1,1007,0,67107
147,2026/3/14,lalalalala,39467,MASTER,0,14.13%,2.19%,11.94%,7.44%,43.70%,0.35%,20.21%,0,1.8,0.3,0.3,1.1,0.3,0.3,0.1,0.3,0.2,0.1,25.55%,20.00%,46.66%,7.77%,0,0,2.3,2.4,0.6,9.4,8.8,2824,85,6518,5,179804
148,2026/3/14,scar16sw,17366,PLATINUM4,0,7.28%,12.06%,38.56%,2.24%,4.23%,0.10%,35.50%,0,1.2,0.1,0.1,0.3,0.8,0.6,0.2,0.5,0.3,0.2,20.00%,20.00%,43.33%,16.66%,0,0,3.6,3.4,1.4,6.6,5.8,1894,12,236,38,82936
149,2026/3/14,Weiyue,36086,MASTER,1421,7.56%,1.51%,17.62%,5.18%,41.26%,0.14%,26.70%,0,0.6,0.3,0.1,0,0.2,0.1,0,0.3,0.2,0,11.62%,41.86%,34.88%,11.62%,0,0.1,2.4,2.6,0.4,8.4,12.4,3912,0,933,9,135454
150,2026/3/14,lula,29563,MASTER,1443,11.87%,5.29%,15.01%,7.98%,27.90%,0.75%,31.15%,0.1,1,0.1,0.1,0.3,0.5,0.3,0.2,0.6,0.5,0.2,11.53%,19.23%,42.30%,26.92%,0.1,0.1,2.7,2.3,0.1,3.9,8.4,3419,0,0,0,115086
151,2026/3/14,Mandy_Fight,71352,MASTER,0,6.71%,4.17%,14.21%,1.99%,49.97%,0.45%,22.48%,0.1,1.4,0.1,0.3,0.2,0.5,0.4,0.1,0.5,0.3,0.1,23.52%,0.00%,58.82%,17.64%,0,0.1,2.3,2.1,0.1,9.7,5.7,9189,4922,1231,324,483162
152,2026/3/14,AlejandroDelLu,17366,PLATINUM4,0,14.06%,7.59%,18.98%,6.66%,15.28%,0.00%,37.40%,0,1.9,0.2,0.1,0.3,0.7,0.5,0.2,0.5,0.3,0.1,42.50%,30.00%,16.25%,11.25%,0.1,0.1,2.2,2.9,0.2,6.6,7,3002,54,0,212,122451
153,2026/3/14,胡力威師傅,124285,MASTER,1486,10.55%,7.14%,21.43%,4.94%,33.26%,0.74%,21.91%,0.1,1.2,0.1,0.3,0.2,0.6,0.3,0,0.4,0.3,0.2,31.81%,24.24%,34.84%,9.09%,0.2,0,1.7,2,0.4,8.4,8.9,14326,308,1301,33,476529
154,2026/3/14,Azu7li,20150,DIAMOND1,0,12.26%,14.53%,28.05%,6.76%,4.67%,0.00%,33.70%,0,1.3,0.2,0.1,0.3,1.1,0.8,0.4,0.9,0.6,0.4,26.08%,44.92%,20.28%,8.69%,0.1,0,2.3,2.4,0.4,9,7.8,1983,108,1115,0,80717
155,2026/3/14,Barca,25433,MASTER,0,14.18%,1.92%,20.73%,7.89%,20.09%,1.83%,33.33%,0.2,1.8,0.1,0,0.6,0.2,0.1,0.1,0.3,0.2,0.1,17.64%,36.47%,29.41%,16.47%,0.1,0,2,1.8,0.3,9.9,8,12428,235,12829,910,586660
156,2026/3/14,MogK,59389,MASTER,1484,7.86%,2.59%,13.91%,5.35%,47.05%,1.31%,21.91%,0.2,0.6,0.5,0.1,0.1,0.1,0.1,0,0.4,0.2,0,60.71%,10.71%,17.85%,10.71%,0.1,0.2,2.2,2.5,0.4,8.7,9.9,3976,10,6925,372,228623
157,2026/3/14,ミタケー,20200,DIAMOND2,0,1.60%,5.80%,42.93%,1.30%,23.21%,1.20%,23.93%,0.1,0,0,0,0,0.5,0.2,0,0.4,0.2,0.1,43.28%,13.43%,32.83%,10.44%,0,0.1,1.5,1.1,0.2,8.1,6.3,605,39,1267,8,45092
158,2026/3/14,ぬふです,23027,DIAMOND4,0,14.87%,10.36%,21.77%,7.11%,24.94%,0.00%,20.92%,0,2.3,0.1,0.4,0.6,1.1,0.7,0.2,0.7,0.5,0.3,23.45%,12.34%,45.67%,18.51%,0.1,0,3.5,2.8,0.8,13.2,5.8,4628,11,0,0,148551
159,2026/3/14,FzFreischutz,21526,DIAMOND3,0,12.31%,9.85%,24.05%,7.99%,7.78%,3.11%,34.86%,0.3,1.2,0.3,0.2,0.3,0.9,0.4,0,0.3,0.2,0.1,40.00%,15.00%,30.00%,15.00%,0,0,3.3,4.8,0.9,4.2,16.8,5995,41,5013,132,270921
160,2026/3/14,掃除しろ進藤,24046,DIAMOND5,0,14.15%,2.18%,13.86%,7.32%,38.21%,1.24%,23.00%,0.2,2,0.1,0.2,0.5,0.3,0.3,0.2,0.2,0.2,0,11.11%,14.81%,55.55%,18.51%,0,0.1,2.6,2.1,0.2,7.9,10.8,5809,0,129,15,202061
161,2026/3/14,レッサーパンダ,18083,PLATINUM5,0,8.29%,14.34%,17.20%,2.81%,28.65%,2.35%,26.32%,0.3,1.1,0.1,0.2,0.1,1.3,0.8,0.1,0.6,0.5,0.4,22.98%,32.18%,21.83%,22.98%,0.1,0,2.8,2.5,0.4,9.8,9.4,681,377,7373,57,132540
162,2026/3/14,s_032,11178,GOLD2,0,12.21%,38.93%,14.16%,0.70%,0.00%,0.12%,33.85%,0,1.8,0,0.3,0.3,2.6,1.4,0.3,1.1,0.8,0.6,14.54%,7.27%,54.54%,23.63%,0,0,2.6,2.6,0.4,7.2,5.6,520,2,0,0,17121
163,2026/3/14,ninja,19335,DIAMOND1,0,10.59%,2.88%,10.99%,5.84%,39.14%,0.00%,30.52%,0,1.2,0.1,0.1,0.3,0.4,0.3,0.2,0.3,0.1,0,12.50%,18.75%,31.25%,37.50%,0,0,3,3.3,1.1,12,9.6,2784,0,402,0,100595
164,2026/3/14,RogerJ,15124,PLATINUM2,0,12.45%,13.10%,1.39%,1.39%,1.04%,0.00%,70.61%,0,0.9,0.5,0.2,0.2,0.6,0.3,0.1,0.7,0.5,0.1,87.38%,0.00%,8.10%,4.50%,0,0,4.4,2.3,0.5,1.8,7.4,184,0,0,0,7526
165,2026/3/14,MinnaNOokage,11178,GOLD2,0,20.25%,9.58%,23.08%,7.58%,6.27%,0.00%,33.21%,0,3.3,0.1,0.1,0.2,1,0.7,0.3,0.8,0.6,0.2,42.85%,25.39%,26.98%,4.76%,0.1,0,1.9,2.4,0.2,4.1,8.3,80,1041,127,17,37443
166,2026/3/14,11eart,11178,GOLD2,0,8.63%,7.04%,15.62%,7.30%,38.81%,0.19%,22.38%,0,0.2,0.1,0,0,0.7,0.3,0.1,0.7,0.4,0.1,3.92%,0.00%,56.86%,39.21%,0,0,3.7,3,0.2,10.1,3,457,1,104,0,15282
167,2026/3/14,Imaweirdo,11178,GOLD2,0,3.33%,26.06%,13.24%,0.55%,0.00%,0.12%,56.67%,0,0.5,0.1,0,0,1.6,1.2,0.4,1.6,1.1,0.3,22.80%,43.85%,19.29%,14.03%,0,0,1.3,2.5,0.2,8.4,6.4,446,21,148,356,28116
168,2026/3/14,Maaxwellz,11768,GOLD3,0,6.49%,5.67%,6.95%,1.51%,48.45%,0.00%,30.89%,0,1.9,0.1,0,0.1,0.9,0.7,0.4,0.7,0.5,0.1,29.41%,15.29%,41.17%,14.11%,0.1,0.1,3.1,2.1,0.3,7,8.2,907,4,451,4,40757
169,2026/3/14,GeneralWarrior,10085,GOLD2,0,9.22%,19.44%,21.72%,3.72%,23.81%,0.07%,21.98%,0,1.8,0,0.3,0.1,1.9,1.1,0.2,1.5,1,0.4,39.16%,20.83%,21.66%,18.33%,0.1,0.1,1.1,2.8,0.2,6,6.9,895,936,109,189,70544
170,2026/3/14,CheesyPig,38531,MASTER,1395,16.59%,8.87%,28.02%,11.98%,13.41%,0.00%,21.10%,0,1.7,0.1,0.3,0.3,1.2,0.8,0.4,1.3,0.8,0.1,27.71%,61.44%,9.63%,1.20%,0.1,0.1,2.6,3,0.7,10.3,6.5,8659,2,14,0,280858
171,2026/3/14,the_log_ride,23932,DIAMOND5,0,7.91%,10.11%,10.49%,1.31%,27.62%,5.76%,36.77%,0.7,2.4,0.2,0.1,0.2,1.1,0.8,0.2,0.7,0.4,0.3,17.85%,10.71%,55.35%,16.07%,0.2,0,3,2.5,1.1,6.3,9.9,7511,2130,1185,4454,537776
172,2026/3/14,f0nt9,13353,PLATINUM1,0,9.98%,2.01%,9.77%,4.37%,51.00%,0.62%,22.21%,0.1,1.7,0.2,0.1,0.4,0.3,0.3,0.2,0.4,0.2,0,24.05%,39.24%,29.11%,7.59%,0,0,2,2.3,0.9,13.3,5.1,564,0,30,0,17858
173,2026/3/14,Shy Elan,12569,GOLD5,0,8.46%,12.80%,49.13%,0.01%,0.22%,7.62%,21.73%,1,2.7,0.1,0.4,0.1,1.6,1.1,0.3,1.5,1,0.3,65.18%,13.29%,13.29%,8.22%,0,0,2.9,2,0.2,6.6,4,4641,1705,5,568,248397
174,2026/3/14,Orbajo,11178,GOLD2,0,8.09%,5.64%,10.98%,3.46%,2.25%,0.90%,68.65%,0.1,0.7,0.1,0,0,0.3,0.2,0,1.7,1.2,0.1,25.00%,12.50%,37.50%,25.00%,0,0,3.3,2,0.2,2.7,7.3,2789,3549,1668,136,227435
175,2026/3/14,赤髪コジー,11178,GOLD2,0,15.40%,8.14%,16.15%,3.79%,1.23%,0.00%,55.25%,0,2,0.1,0.3,0,0.5,0.3,0.1,1.3,0.9,0.1,0.00%,10.29%,72.05%,17.64%,0,0,3.1,2.5,0.2,2.5,7.9,2493,2751,8,0,158347
176,2026/3/14,salistoir,16542,PLATINUM3,0,3.25%,21.22%,32.84%,0.00%,6.36%,0.10%,36.20%,0,0.5,0.1,0.1,0.1,1.5,1,0.1,1.3,0.8,0.3,38.04%,35.86%,22.82%,3.26%,0,0.1,2.1,2.7,0.6,4.2,5,1307,0,0,0,48403
177,2026/3/14,狐色シンフォニー,17831,PLATINUM5,0,3.53%,4.95%,67.50%,1.11%,0.00%,0.00%,22.89%,0,0.6,0.4,0,0.1,0.4,0.2,0.1,0.4,0.1,0,47.36%,21.92%,18.42%,12.28%,0,0,3.2,2.4,0.5,4,12,3065,3,1064,13,110703
178,2026/3/14,************,14218,PLATINUM2,0,8.03%,10.69%,25.43%,2.62%,13.40%,0.17%,39.64%,0,0.6,0.3,0.1,0.1,1,0.6,0.3,1,0.6,0.1,60.86%,17.39%,13.04%,8.69%,0,0,2.3,3.3,0.6,4.3,8.6,2265,156,8,0,78877
179,2026/3/14,super已哭,12821,GOLD5,0,9.84%,15.32%,44.34%,7.08%,1.43%,0.19%,21.76%,0,0.4,0.1,0,0.1,1.3,0.8,0.1,0.9,0.6,0.2,44.00%,17.00%,27.00%,12.00%,0,0.1,2.3,1.5,0.1,5.8,5.1,652,0,58,0,21986
180,2026/3/14,PaulReedSuichan,13080,PLATINUM1,0,3.44%,6.96%,35.15%,2.18%,30.92%,0.17%,21.15%,0,0.1,0.1,0,0,0.6,0.4,0.1,0.5,0.4,0.1,52.17%,8.69%,23.91%,15.21%,0,0,2.9,2.2,0.6,8.5,3.7,2538,17,0,0,96244
181,2026/3/14,銀鱗22,12459,GOLD5,0,15.17%,15.37%,13.79%,10.02%,19.20%,2.43%,23.99%,0.3,1.8,0.1,0.4,0.2,1.2,0.8,0.3,0.8,0.6,0.3,44.73%,3.94%,35.52%,15.78%,0,0,4.8,2.3,0.5,9,6.3,4219,90,27,64,152941
182,2026/3/14,The Rock,30007,MASTER,0,22.99%,5.18%,23.57%,11.03%,0.00%,11.98%,25.21%,1.2,2.5,0.1,0.3,0.4,0.3,0.3,0,0.8,0.5,0.2,6.66%,24.44%,40.00%,28.88%,0,0.1,2.5,1.6,0.1,1.9,11.4,2904,16,330,900,150014
183,2026/3/14,别迸我 我是反迸发大王,11419,GOLD3,0,20.50%,16.03%,11.48%,18.67%,0.68%,0.11%,32.50%,0,0.3,0,0.1,0,1,0.5,0.3,1.3,0.6,0.2,12.96%,22.22%,46.29%,18.51%,0.1,0,2.7,1.7,0.1,4.2,7.5,2157,8,0,9,65487
184,2026/3/14,Zero525,10136,GOLD2,0,7.88%,25.63%,34.43%,5.63%,0.00%,0.09%,26.31%,0,0.3,0.2,0.1,0.1,1.6,0.9,0.2,1.2,0.8,0.5,9.52%,19.04%,47.61%,23.80%,0.1,0.1,2.4,2.3,0.3,13,6.4,1279,15,571,63,48891
185,2026/3/14,Cry_,14030,PLATINUM1,0,5.17%,4.64%,51.35%,2.77%,2.92%,0.00%,33.11%,0,0.5,0.1,0.1,0,0.3,0.3,0.2,1.1,0.8,0.1,64.00%,19.00%,8.00%,9.00%,0,0,1.1,2.5,0.1,5.3,4.8,22129,125,909,175,741285
186,2026/3/14,ankh,67139,MASTER,1349,12.20%,17.89%,24.51%,5.86%,6.36%,3.41%,29.75%,0.3,1.3,0.1,0.2,0.1,1.4,0.8,0.2,0.8,0.6,0.4,21.73%,10.14%,50.72%,17.39%,0.1,0.1,1.7,1.9,0.2,7,8.2,4477,34,3148,23,174391
187,2026/3/14,KFCvme30,46622,MASTER,0,18.27%,5.60%,10.55%,8.64%,28.82%,1.31%,26.78%,0.2,2.8,0.1,0.6,0.1,0.6,0.3,0.1,0.5,0.3,0,2.22%,8.88%,55.55%,33.33%,0.2,0,1.7,2.9,0.8,5.9,8,3346,579,268,278,139834
188,2026/3/14,testarossa,12899,GOLD5,0,20.06%,4.85%,34.47%,10.72%,1.66%,0.09%,28.12%,0,2.5,0.1,0.5,0.4,0.5,0.2,0.1,0.6,0.4,0.1,35.48%,12.90%,38.70%,12.90%,0,0,3.8,2.3,0.3,5.1,5.1,1308,0,16,0,45660
189,2026/3/14,Watermelon,19020,DIAMOND1,0,8.20%,4.29%,24.57%,6.05%,2.90%,0.00%,53.96%,0,0.5,0,0,0,0.3,0.2,0.1,0.5,0.3,0,33.33%,39.39%,21.21%,6.06%,0.1,0,1.1,2,0.2,8.8,9.4,849,3,0,645,129187
190,2026/3/14,RX6650XT,15280,PLATINUM2,0,18.08%,5.62%,43.06%,5.57%,5.83%,0.00%,21.81%,0,4.4,0.1,0.5,0.4,0.7,0.5,0.2,0.9,0.7,0.1,24.34%,16.52%,44.34%,14.78%,0,0.1,3.6,2.5,0.8,7.2,6.9,21550,0,0,0,644201
191,2026/3/14,のけものフレンズ,220582,ULTIMATE,1804,12.29%,1.20%,8.35%,5.57%,45.62%,0.95%,25.99%,0.1,2.5,0.2,0.3,0.4,0.1,0,0,0.2,0.1,0,8.47%,38.98%,40.67%,11.86%,0.1,0,3.2,2.3,0.4,12.9,10.6,30366,465,5602,8746,1373505
192,2026/3/14,Fカップじゃ足りませんか？,24070,DIAMOND5,0,16.31%,11.36%,26.03%,10.28%,7.71%,0.92%,27.36%,0.1,1.9,0.2,0.3,0.2,1.1,0.9,0.4,0.9,0.7,0.5,12.87%,63.36%,13.86%,9.90%,0.2,0.1,3.7,2.6,0.8,12.2,7.7,7176,1602,2417,211,324148
193,2026/3/14,hotcookie0402,13602,PLATINUM1,0,12.83%,12.49%,8.74%,4.20%,43.16%,0.29%,18.26%,0,3,0,0.6,0.1,1.3,0.9,0.2,1,0.7,0.3,25.20%,34.95%,34.14%,5.69%,0,0,1.8,1.7,0.2,11.3,8.6,9964,327,3381,9,369165
194,2026/3/14,まるなか,16287,PLATINUM3,0,12.39%,7.18%,14.58%,2.46%,14.96%,0.21%,48.18%,0,2,0,0.3,0.4,0.6,0.4,0.2,0.5,0.4,0,22.22%,7.40%,48.14%,22.22%,0.1,0,2.5,2.9,0.8,5.3,8.8,4192,0,201,0,147236
195,2026/3/14,Sacred Play,13149,PLATINUM1,0,6.14%,7.83%,60.24%,4.43%,2.77%,0.00%,18.57%,0,0.5,0.2,0,0,0.7,0.3,0.1,0.2,0.1,0.1,36.30%,35.61%,24.65%,3.42%,0.1,0.1,3.5,1.9,0.3,22.5,6.9,723,0,115,0,23249
196,2026/3/14,Spyopz,73481,MASTER,0,29.79%,2.37%,5.61%,18.82%,12.69%,2.09%,28.59%,0.2,2.8,0.3,0.3,0.3,0.2,0.2,0.2,0.6,0.4,0.1,62.96%,3.70%,20.37%,12.96%,0,0,2.1,1.8,0.1,12.1,6.7,5224,511,18,0,180533
197,2026/3/14,Faranhite,21071,DIAMOND2,0,7.28%,3.13%,21.85%,5.21%,18.41%,0.00%,44.09%,0,0.5,0.1,0,0,0.2,0.1,0.1,0.6,0.4,0,46.66%,6.66%,28.88%,17.77%,0.1,0,1.9,2.5,0.2,9.4,6.8,2109,123,529,218,89520
198,2026/3/14,野兔叔叔,21071,DIAMOND2,0,5.06%,4.86%,49.96%,1.44%,15.28%,6.99%,16.36%,0.9,1.1,0.1,0.2,0,0.5,0.3,0,1.1,0.6,0.1,18.51%,16.04%,49.38%,16.04%,0,0.1,2.2,1.5,0.1,7.4,7.8,3321,3,68,0,101207
199,2026/3/14,マーニャーブラザ,21071,DIAMOND2,0,14.88%,5.06%,33.53%,8.82%,7.99%,0.00%,29.68%,0,0.9,0,0.2,0.1,0.3,0.2,0.1,0.5,0.3,0.1,28.35%,22.38%,28.35%,20.89%,0,0,2.1,2.6,0.4,8.7,9.3,976,2,1705,0,47448
200,2026/3/14,\(^_^)/,36352,MASTER,0,22.47%,2.54%,10.19%,15.84%,16.09%,1.60%,31.23%,0.2,1.7,0.1,0.3,0.5,0.2,0.1,0,0.3,0.2,0,13.04%,13.04%,43.47%,30.43%,0.2,0,1.5,2.6,0.8,8.7,9,10658,0,3052,0,359544
201,2026/3/14,Hi ＝),47829,MASTER,1340,16.14%,1.34%,7.93%,0.30%,41.76%,0.21%,32.29%,0,7.2,0,0.1,0.9,0.1,0.1,0,0.1,0.1,0,33.33%,0.00%,40.47%,26.19%,0,0,2.6,3.3,0.9,8.2,8,5348,150,2480,0,202245
202,2026/3/14,Devsensei,24184,DIAMOND5,0,3.64%,14.58%,57.06%,1.90%,0.11%,0.15%,22.51%,0,0.5,0.1,0,0,1.3,0.7,0.1,0.9,0.7,0.5,5.95%,2.38%,71.42%,20.23%,0.1,0.1,2.8,2,0.5,13.8,6.8,12724,83,0,0,386371
203,2026/3/14,Sim.VI,21071,DIAMOND2,0,8.35%,8.46%,35.95%,4.97%,4.75%,0.09%,37.39%,0,0.8,0.1,0.1,0.1,0.7,0.4,0.2,0.8,0.6,0.1,18.75%,52.08%,20.83%,8.33%,0,0.1,2.5,2.6,0.6,7.5,8,2384,537,60,103,101205
204,2026/3/14,streak snatcher,16516,PLATINUM3,0,8.81%,21.78%,30.28%,0.86%,2.58%,0.00%,35.67%,0,1.7,0.1,0.2,0.4,1.7,1.1,0.4,0.8,0.5,0.3,19.58%,17.52%,40.20%,22.68%,0,0,2,2.7,0.6,8.5,6.5,3794,855,222,4,153097
205,2026/3/14,TNPO,25002,MASTER,1500,8.93%,2.25%,8.69%,4.21%,50.47%,5.25%,20.17%,0.7,1.7,0.1,0.1,0.4,0.2,0.1,0,0.4,0.2,0.1,42.85%,14.28%,20.23%,22.61%,0.1,0.1,1.8,2.1,0.2,10.6,9.1,8505,427,2629,0,316125
206,2026/3/14,Starkreys,84676,MASTER,1285,9.88%,10.24%,49.07%,6.84%,2.75%,8.50%,12.69%,1.2,0.9,0.1,0.1,0.1,1,0.6,0.2,0.7,0.5,0.2,71.95%,14.81%,9.52%,3.70%,0.1,0.2,2.5,1.6,0.4,6.5,7.9,17439,11,32,1595,645143
207,2026/3/14,いちゃいちゃの実,21071,DIAMOND2,0,11.20%,4.31%,9.62%,5.82%,36.16%,0.00%,32.85%,0,1.4,0.2,0.1,0.2,0.3,0.2,0.1,0.4,0.3,0.1,10.86%,4.34%,45.65%,39.13%,0.1,0,2.4,3,0.5,8.9,7.2,1420,202,1916,53,78757
208,2026/3/14,ちゃけん,21071,DIAMOND2,0,11.35%,6.07%,14.34%,7.03%,37.68%,0.00%,23.51%,0,1.2,0.3,0.1,0.1,0.5,0.4,0.1,0.5,0.2,0,45.23%,2.38%,26.19%,26.19%,0.1,0.1,2.6,1.9,0.3,8.9,5.9,1196,57,93,49,42400
209,2026/3/14,Dice,26170,MASTER,1470,10.47%,6.51%,15.12%,4.21%,21.76%,0.00%,41.91%,0,1.2,0.2,0.1,0.3,0.5,0.4,0.2,0.4,0.3,0.1,32.00%,4.00%,44.00%,20.00%,0.1,0,1.5,2.4,0.4,9.4,9.1,2905,2885,10,26,181876
210,2026/3/14,かりかり,15200,PLATINUM2,0,7.13%,7.41%,41.65%,4.43%,8.01%,0.60%,30.73%,0.1,0.5,0.1,0.1,0.1,0.5,0.3,0.1,0.7,0.4,0.1,37.07%,12.35%,31.46%,19.10%,0,0.1,2.3,3,0.5,8.3,7.5,608,9,287,6,23470
211,2026/3/14,OTNPP,17612,PLATINUM4,0,24.36%,2.62%,18.99%,13.19%,14.00%,0.00%,26.81%,0,1.6,0.1,0.3,0.5,0.2,0.1,0.1,0.3,0.2,0,53.03%,4.54%,37.87%,4.54%,0.1,0,1.6,2.5,0.2,9.8,5.1,688,10,911,0,36161
212,2026/3/14,BAHHO,16190,PLATINUM3,0,17.15%,2.20%,17.58%,8.10%,29.63%,0.00%,25.32%,0,4.3,0.1,0.1,0.2,0.5,0.4,0.3,0.8,0.5,0,4.08%,2.04%,61.22%,32.65%,0,0.1,2.6,3.7,0.5,9.3,10.8,1521,22,630,0,61002
213,2026/3/14,mevius69,17612,PLATINUM4,0,3.94%,8.78%,5.02%,2.08%,48.22%,0.00%,31.92%,0,0.5,0.1,0,0.1,0.9,0.6,0.3,0.6,0.4,0.3,8.16%,4.08%,59.18%,28.57%,0,0.1,4.6,2.5,0.3,7.1,7.3,4980,3,147,391,214475
214,2026/3/14,Bernard Knuckle,21221,DIAMOND2,0,0.43%,1.25%,28.44%,0.05%,39.96%,0.00%,29.84%,0,0,0.1,0,0,0.2,0.1,0,0.8,0.4,0,60.41%,0.00%,25.00%,14.58%,0,0.1,3.2,2.7,1,3.8,13.1,8040,143,0,87,266096
215,2026/3/14,zima-K+,9039,GOLD1,0,12.92%,6.32%,45.38%,0.84%,1.19%,4.77%,28.55%,0.5,2.9,0.1,0.3,0.3,0.6,0.5,0.2,0.4,0.2,0.1,85.04%,1.86%,3.73%,9.34%,0,0.1,1.2,2.7,0.1,3.2,5.1,703,0,68,33,27483
216,2026/3/14,你那眼泪算什么,18025,PLATINUM5,0,11.62%,14.22%,26.49%,5.74%,4.41%,0.09%,37.39%,0,1.4,0.1,0.1,0.1,1.2,0.9,0.3,1,0.6,0.2,61.06%,8.39%,19.84%,10.68%,0.1,0,1.8,2.4,0.5,8.3,5.2,4220,2,112,225,145080
217,2026/3/14,Tokipy,89187,MASTER,1491,13.57%,3.21%,7.23%,7.63%,22.29%,1.60%,44.44%,0.2,1.5,0.3,0.2,0.6,0.4,0.3,0.2,0.3,0.2,0.1,30.23%,16.27%,39.53%,13.95%,0.1,0,2,3.1,1.2,7.9,12.2,11422,41,5022,217,457830
218,2026/3/14,ビッケブランカ,9000,GOLD1,0,7.93%,13.88%,28.57%,3.05%,5.79%,0.00%,40.76%,0,1,0.2,0.1,0.2,1,0.5,0,0.8,0.7,0.3,29.11%,21.51%,24.05%,25.31%,0.1,0,1.8,2.9,0.3,5.6,10.5,1165,7,0,3,41216
219,2026/3/14,crazy_hammer,17612,PLATINUM4,0,9.57%,17.65%,9.70%,6.96%,27.58%,0.22%,28.28%,0,0.4,0.1,0,0,1.8,1.2,0.2,0.9,0.7,0.3,45.28%,0.00%,42.45%,12.26%,0.1,0.1,3.1,3.6,0.4,9.4,9.4,6245,3,28,0,193199
220,2026/3/14,PLAYERNAMEJJ,18399,PLATINUM5,0,7.55%,3.77%,10.26%,2.32%,32.54%,2.42%,41.09%,0.3,1.2,0,0.1,0,0.2,0.1,0,1.2,0.6,0.1,27.11%,27.11%,32.20%,13.55%,0.2,0,1.7,2.6,0.7,7.1,7.7,1952,20,18,955,100534
221,2026/3/14,Pearhungry64:),16757,PLATINUM4,0,17.84%,6.02%,9.72%,12.63%,8.81%,0.00%,44.96%,0,1,0.2,0,0.2,0.5,0.3,0.2,0.6,0.3,0.1,25.00%,18.75%,40.62%,15.62%,0,0,2.5,2.3,0.2,6.1,6.6,1651,138,224,373,89420
222,2026/3/14,merwin101,19891,DIAMOND1,0,11.45%,8.12%,41.36%,4.16%,1.36%,0.20%,33.33%,0,1.8,0.1,0.3,0.3,0.6,0.4,0.1,0.7,0.5,0.1,55.00%,12.50%,16.25%,16.25%,0,0,1.9,2.6,0.2,7.4,8.9,2777,42,63,282,109259
