short_id,fetch_date,player_name,league_point,master_rating,league_rank,battle_hub_match_play_count,casual_match_play_count,corner_time,cornered_time,custom_room_match_play_count,drive_impact,drive_impact_to_drive_impact,drive_parry,drive_reversal,gauge_rate_ca,gauge_rate_drive_arts,gauge_rate_drive_guard,gauge_rate_drive_impact,gauge_rate_drive_other,gauge_rate_drive_reversal,gauge_rate_drive_rush_from_cancel,gauge_rate_drive_rush_from_parry,gauge_rate_sa_lv1,gauge_rate_sa_lv2,gauge_rate_sa_lv3,just_parry,punish_counter,rank_match_play_count,received_drive_impact,received_drive_impact_to_drive_impact,received_punish_counter,received_stun,received_throw_count,received_throw_drive_parry,rival_ai_achieved_challenge_count,rival_ai_highest_league_rank,rival_ai_highest_league_rank_txt,stun,target_clear_count,throw_count,throw_drive_parry,throw_tech,total_all_character_play_point
3059673838,2026/3/14,三田JP,799456,2232,36,93,0,12.7,11.7,281,0.5,0.1,2.4,0,0.0333,0.3534,0.14,0.0237,0.1922,0.0032,0.2166,0.0705,0.1533,0.7333,0.08,1,0.1,22012,0.1,0,0.1,0,2,0.2,0,36,Master,0.2,84,1.6,0.6,0.1,681052
1205448799,2026/3/14,-DingChunQiu-,400800,2015,36,145,7,14.1,13.9,20805,0.3,0,1.7,0,0.0757,0.2969,0.1199,0.0181,0.2588,0.0036,0.2422,0.0601,0.2045,0.5378,0.1818,0.9,0.1,26740,0.1,0,0.1,0,2.3,0.4,0,0,-,0.1,100,1.5,0.4,0.5,1038045
2459855665,2026/3/14,@Sycom┃zabutonn,821341,2227,36,1304,337,10.7,8.1,30462,0.2,0,1.3,0,0.084,0.2831,0.1387,0.0183,0.2243,0.0031,0.2548,0.0773,0.3613,0.3865,0.168,1,0.1,29702,0.3,0.1,0.2,0.1,1.5,0.4,0,36,Master,0.1,216,1.7,0.2,0.3,1355783
2067988909,2026/3/14,ABOOD-BBOY,61512,1722,36,20,0,14.8,6,17373,0.2,0.1,1,0.2,0.1052,0.2543,0.112,0.0155,0.2064,0.014,0.3173,0.0803,0.2631,0.3684,0.2631,0.4,0.2,22746,0.2,0,0.1,0,1.3,0,0,0,-,0.1,60,2.6,0.4,0.3,878662
3034704380,2026/3/14,ランダム,171001,2071,36,205,6,15.7,4.9,107,0.1,0,2,0,0.0416,0.2402,0.0867,0.0116,0.1796,0.0007,0.4461,0.0348,0.2291,0.1666,0.5625,0.7,0.1,9308,0.1,0,0,0,1.4,0.1,0,36,Master,0.1,64,1.7,0.2,0.3,290088
2279746360,2026/3/14,我是贤师傅，今天求求你让我赢,455955,2222,36,300,23,20.4,6.9,15163,0.6,0.3,2.1,0.1,0.0769,0.2107,0.1328,0.0272,0.2215,0.0091,0.3199,0.0784,0.3076,0.4195,0.1958,0.6,0.4,12424,0.4,0,0.2,0.1,1.7,0.1,0,0,-,0.2,72,2,0.4,0.5,572377
2521166079,2026/3/14,inaba,323400,2221,36,208,38,12,6.9,5421,0.2,0.1,1.8,0.1,0.1948,0.2228,0.1597,0.0129,0.2379,0.0064,0.264,0.096,0.2857,0.1558,0.3636,1,0.2,48537,0.2,0,0.1,0.1,2.1,0.3,0,36,Master,0.1,155,3.2,0.4,0.9,1554577
1732856596,2026/3/14,Nth＿satoru,851939,2221,36,78,0,13.1,9.2,11224,0.4,0.1,2.2,0.2,0.099,0.1057,0.0934,0.0301,0.2494,0.0183,0.4626,0.0402,0.2079,0.4059,0.2871,0.4,0.2,55756,0.3,0.1,0.2,0,1.8,0.1,0,36,Master,0.2,197,2.2,0.3,0.2,1823875
3274317482,2026/3/14,kuromame,839535,2217,36,679,63,19.4,8.8,3990,0.2,0,1.6,0.4,0.0363,0.1328,0.0884,0.0094,0.2147,0.0258,0.4788,0.0497,0.5181,0.1545,0.2909,0.6,0,58985,0.1,0,0,0.1,2.1,0.1,0,36,Master,0.1,169,2.4,0.2,0.9,1873861
1304269231,2026/3/14,Shuto,546123,2217,36,715,1,13,7.4,29509,0.4,0.1,1.5,0.1,0.0394,0.2341,0.1217,0.0267,0.1862,0.0099,0.3426,0.0783,0.5065,0.2039,0.25,0.5,0.2,35470,0.3,0.1,0.1,0.1,1.8,0.1,0,36,Master,0.2,171,2.5,0.3,0.5,1498988
3857418744,2026/3/14,.YAS.,-1,0,39,19967,36,10.4,9.6,4480,0.1,0,2,0.1,0.0673,0.2461,0.1408,0.0126,0.2651,0.0053,0.2515,0.0782,0.3269,0.2115,0.3942,0.8,0,14581,0.1,0,0.1,0.1,2.7,0.2,0,36,Master,0.1,433,2.8,0.5,0.7,1296158
3857005011,2026/3/14,Seiya,821847,2216,36,7774,21,12.9,9.4,11283,0.1,0,1.2,0.1,0.1009,0.111,0.0992,0.0067,0.2605,0.0052,0.4647,0.0523,0.3577,0.3302,0.211,1.1,0.1,27547,0.1,0,0,0,2.3,0.1,0,36,Master,0,394,2.8,0.4,0.5,1312582
2448431071,2026/3/14,DakCorgi,760543,2216,36,3617,11,14,8.4,5636,0.2,0.1,2.2,0.5,0.088,0.3012,0.1266,0.0161,0.2777,0.0363,0.1974,0.0442,0.464,0.296,0.152,1.1,0.2,60493,0.2,0,0.1,0.1,2.4,0.2,1,36,Master,0.1,257,1.8,0.3,0.7,2071773
1353189447,2026/3/14,2G Brayan_Job,595524,2216,36,0,1,14.2,8.5,7250,0.1,0,2.3,0,0.112,0.147,0.1665,0.0131,0.2121,0.002,0.359,0.0999,0.2413,0.2758,0.3706,1.4,0.1,12532,0.1,0,0,0,2.3,0.2,0,0,-,0.1,27,2.3,0.4,0.3,454384
1188227562,2026/3/14,プルプルなぷる,745673,2215,36,1586,69,12.5,13.6,2810,0.2,0,2.3,0.1,0.0927,0.2295,0.1489,0.013,0.2331,0.006,0.2911,0.0781,0.2474,0.2164,0.4432,0.8,0.1,37396,0.3,0.1,0.2,0.2,3,0.4,0,36,Master,0.1,175,2.1,0.2,0.6,1241987
1033013614,2026/3/14,Nashi_espopia,443653,2010,36,11206,293,5.2,15.3,1836,0,0,1.6,0,0.0873,0.1468,0.1201,0.0027,0.5906,0.0013,0.1018,0.0363,0.398,0.233,0.2815,0.5,0,54802,0.1,0,0.1,0,3.4,0.1,0,0,-,0,325,2.4,0.1,0.8,2121052
2850466391,2026/3/14,karura,-1,0,39,13175,380,17.2,10.6,22177,0.1,0,1,0.4,0.1481,0.1541,0.1744,0.01,0.2545,0.032,0.2423,0.1325,0.4074,0.1358,0.3086,0.4,0,13128,0.2,0,0.1,0,1.9,0.3,1,36,Master,0.1,373,2.7,0.4,0.4,1361681
2235576711,2026/3/14,ゴトーー,784709,2211,36,7008,31,14.5,8.5,27747,0.2,0.1,1.6,0,0.0598,0.1241,0.0859,0.0199,0.2236,0.0031,0.5084,0.0347,0.3162,0.3931,0.2307,0.5,0.2,34500,0.1,0,0.1,0.1,2.5,0.1,0,36,Master,0.1,383,3.3,0.2,1.2,1646016
1388560788,2026/3/14,shion,243562,2072,36,243,87,12.1,8.7,4287,0.2,0.1,1.6,0.2,0.1142,0.1391,0.1145,0.0151,0.2295,0.0122,0.4303,0.0588,0.2666,0.3809,0.238,0.8,0.1,32354,0.2,0.1,0.1,0,2.3,0.2,0,36,Master,0.1,128,2.5,0.3,0.1,1116260
1775935259,2026/3/14,Kushina,353112,2209,36,5456,27,14.4,7.4,24496,0.1,0,1.9,0.2,0.1136,0.2679,0.1546,0.0096,0.225,0.0125,0.2364,0.0936,0.1477,0.3977,0.3409,0.8,0.1,27175,0.2,0,0.1,0.1,1.7,0.1,18,36,Master,0,423,2.3,0.3,0.4,1403840
3838366890,2026/3/14,LaVISION。ジョジョ太郎,827587,2209,36,523,16,16.9,7.2,7293,0.1,0,1.2,0.1,0.1222,0.1527,0.1062,0.0109,0.1852,0.0049,0.4719,0.0678,0.2111,0.3444,0.3222,0.6,0,50005,0.2,0,0.1,0.1,1.7,0.1,1,36,Master,0.1,311,2.2,0.2,0.4,1638476
